MRUN,n_oportunidades,n_supera,n_supera_con_empate,mejor_puntaje,mejor_margen,tiene_alternativa,estado3,n_preferencias,n_carreras_distintas,DEP_NOMBRE,CLEC_MAX,MATE1_MAX,ptje_obligatorias,decil,grupo_hipotesis
12590628,1,0,0,772.2,-139.0999999999999,False,"Con candidatos, sin alcanzar",6,1,Part. Pagado,782,738,760.0,7,Part. Pagado
12592257,3,0,0,478.8,-19.19999999999999,False,"Con candidatos, sin alcanzar",4,4,Part. Subvencionado,440,567,503.5,8,Otro
12592682,69,0,0,405.3,-1.6999999999999886,False,"Con candidatos, sin alcanzar",20,8,Part. Subvencionado,511,349,430.0,99,Otro
12593017,0,0,0,,,False,Sin candidatos evaluables,4,3,Part. Subvencionado,699,683,691.0,7,Otro
12593145,1,1,1,568.6,102.90000000000003,True,Con alternativa alcanzable,1,1,Part. Subvencionado,467,516,491.5,1,Otro
12593329,1,0,0,749.4,-161.89999999999998,False,"Con candidatos, sin alcanzar",3,1,Part. Subvencionado,682,780,731.0,99,Otro
12595440,8,8,8,646.3,201.69999999999993,True,Con alternativa alcanzable,4,4,Municipal,477,526,501.5,9,Publico
12596144,4,1,1,472.4,58.099999999999966,True,Con alternativa alcanzable,3,2,Part. Subvencionado,583,508,545.5,9,Otro
12596194,11,10,10,642.8,288.19999999999993,True,Con alternativa alcanzable,2,1,Part. Subvencionado,387,421,404.0,7,Otro
12599255,22,8,8,570.9,196.2,True,Con alternativa alcanzable,4,2,Part. Subvencionado,467,412,439.5,1,Otro
12599380,2,2,2,519.8,118.59999999999997,True,Con alternativa alcanzable,1,1,Part. Subvencionado,511,567,539.0,99,Otro
12599415,11,11,11,758.8,361.4,True,Con alternativa alcanzable,2,2,Part. Subvencionado,467,660,563.5,99,Otro
12600896,20,15,15,536.1,162.8,True,Con alternativa alcanzable,5,4,Municipal,555,526,540.5,1,Publico
12602609,8,7,7,709.8,221.90000000000003,True,Con alternativa alcanzable,4,4,Part. Subvencionado,555,539,547.0,3,Otro
12603013,9,9,9,596.8,66.79999999999995,True,Con alternativa alcanzable,4,3,Corp. Municipal,619,432,525.5,3,Publico
12605079,3,1,1,522.9,3.3999999999999773,True,Con alternativa alcanzable,4,1,Corp. Municipal,576,486,531.0,99,Publico
12608647,76,31,31,500.9,76.80000000000001,True,Con alternativa alcanzable,20,11,Part. Subvencionado,583,587,585.0,99,Otro
12610294,86,54,54,559.3,184.59999999999997,True,Con alternativa alcanzable,20,7,Municipal,424,460,442.0,1,Publico
12610775,76,47,47,524.4,156.7,True,Con alternativa alcanzable,9,8,Part. Subvencionado,397,495,446.0,9,Otro
12612000,0,0,0,,,False,Sin candidatos evaluables,2,1,Corp. Adm. Delegada,440,432,436.0,1,Otro
12614715,34,13,13,509.6,122.0,True,Con alternativa alcanzable,5,3,Part. Subvencionado,540,516,528.0,6,Otro
12615477,1,0,0,601.0,-310.29999999999995,False,"Con candidatos, sin alcanzar",5,2,Corp. Municipal,607,526,566.5,4,Publico
12617644,19,16,16,549.0,138.89999999999998,True,Con alternativa alcanzable,4,4,Part. Subvencionado,391,434,412.5,99,Otro
12618011,1,0,0,656.7,-254.5999999999999,False,"Con candidatos, sin alcanzar",8,2,Municipal,590,672,631.0,99,Publico
12618983,39,39,39,731.4,310.6,True,Con alternativa alcanzable,12,7,Part. Subvencionado,725,807,766.0,3,Otro
12619511,7,6,6,733.0,265.59999999999997,True,Con alternativa alcanzable,3,2,Part. Subvencionado,540,508,524.0,99,Otro
12622355,15,14,14,599.8,196.59999999999997,True,Con alternativa alcanzable,20,12,Part. Subvencionado,422,527,474.5,99,Otro
12622685,19,17,17,730.7,376.1,True,Con alternativa alcanzable,3,3,Municipal,590,474,532.0,9,Publico
12623165,35,26,26,547.4,179.7,True,Con alternativa alcanzable,7,5,Part. Subvencionado,410,486,448.0,6,Otro
12625117,3,2,2,574.5,55.0,True,Con alternativa alcanzable,3,1,Part. Subvencionado,500,486,493.0,4,Otro
12625974,2,2,2,614.55,168.09999999999997,True,Con alternativa alcanzable,3,3,Corp. Adm. Delegada,555,631,593.0,1,Otro
12626015,18,18,18,732.5,350.8,True,Con alternativa alcanzable,2,1,Part. Subvencionado,674,682,678.0,1,Otro
12626287,1,0,0,864.2,-47.09999999999991,False,"Con candidatos, sin alcanzar",7,1,Part. Pagado,782,948,865.0,99,Part. Pagado
12626338,7,6,6,571.7,135.90000000000003,True,Con alternativa alcanzable,4,3,SLEP,511,474,492.5,1,Publico
12626500,3,3,3,664.7,145.20000000000005,True,Con alternativa alcanzable,4,2,Part. Subvencionado,525,587,556.0,8,Otro
12626631,10,9,9,532.4,117.59999999999997,True,Con alternativa alcanzable,3,3,Part. Subvencionado,567,516,541.5,8,Otro
12627966,1,0,0,737.8,-173.5,False,"Con candidatos, sin alcanzar",3,1,Part. Subvencionado,761,634,697.5,99,Otro
12628020,29,20,20,630.0,267.1,True,Con alternativa alcanzable,3,2,Part. Subvencionado,590,567,578.5,2,Otro
12628517,19,18,18,612.7,192.15000000000003,True,Con alternativa alcanzable,6,3,Part. Subvencionado,607,793,700.0,9,Otro
12628702,1,0,0,894.3,-17.0,False,"Con candidatos, sin alcanzar",9,3,Part. Pagado,896,900,898.0,10,Part. Pagado
12629455,1,0,0,858.9,-52.39999999999998,False,"Con candidatos, sin alcanzar",5,1,Part. Pagado,777,915,846.0,7,Part. Pagado
12629536,0,0,0,,,False,Sin candidatos evaluables,2,2,Part. Subvencionado,607,601,604.0,9,Otro
12631191,15,15,15,685.1,253.0,True,Con alternativa alcanzable,6,6,Corp. Municipal,685,496,590.5,9,Publico
12633199,18,15,15,589.5,151.25000000000006,True,Con alternativa alcanzable,2,2,Part. Subvencionado,710,618,664.0,1,Otro
12633699,19,17,17,655.8,274.09999999999997,True,Con alternativa alcanzable,2,2,Corp. Municipal,555,601,578.0,6,Publico
12635353,1,0,0,812.6,-98.69999999999993,False,"Con candidatos, sin alcanzar",1,1,Part. Subvencionado,896,710,803.0,1,Otro
12635558,8,2,2,460.3,57.10000000000002,True,Con alternativa alcanzable,3,3,Part. Subvencionado,440,412,426.0,1,Otro
12636083,0,0,0,,,False,Sin candidatos evaluables,1,1,Part. Subvencionado,583,587,585.0,2,Otro
12637381,30,25,25,580.6,212.90000000000003,True,Con alternativa alcanzable,7,6,Part. Subvencionado,500,393,446.5,1,Otro
12637577,18,18,18,669.1,259.0,True,Con alternativa alcanzable,1,1,Municipal,583,539,561.0,99,Publico
12637665,11,10,10,565.25,154.0,True,Con alternativa alcanzable,1,1,Part. Subvencionado,682,579,630.5,3,Otro
12637721,5,3,3,606.7,60.450000000000045,True,Con alternativa alcanzable,7,2,Part. Subvencionado,492,446,469.0,2,Otro
12637753,16,13,13,578.2,175.00000000000006,True,Con alternativa alcanzable,6,6,Part. Subvencionado,477,579,528.0,4,Otro
12637842,1,0,0,703.6,-207.69999999999993,False,"Con candidatos, sin alcanzar",15,2,Part. Subvencionado,682,767,724.5,1,Otro
12638124,11,0,0,316.1,-38.5,False,"Con candidatos, sin alcanzar",5,2,,0,0,0.0,99,Otro
12638454,69,37,37,487.1,110.80000000000001,True,Con alternativa alcanzable,14,5,,511,508,509.5,1,Otro
12640115,44,36,36,534.35,157.40000000000003,True,Con alternativa alcanzable,7,4,Part. Subvencionado,597,432,514.5,99,Otro
12640487,38,34,34,643.0,258.1,True,Con alternativa alcanzable,8,8,Part. Subvencionado,583,738,660.5,2,Otro
12641023,7,5,5,551.5,97.34999999999997,True,Con alternativa alcanzable,9,2,Part. Subvencionado,555,631,593.0,9,Otro
12642454,5,4,4,716.9,218.89999999999998,True,Con alternativa alcanzable,4,2,Part. Subvencionado,583,780,681.5,7,Otro
12642924,26,10,10,530.9,156.2,True,Con alternativa alcanzable,4,2,Corp. Municipal,484,579,531.5,4,Publico
12643653,11,10,10,640.2,242.80000000000007,True,Con alternativa alcanzable,7,2,Part. Subvencionado,484,486,485.0,2,Otro
12643980,1,0,0,641.3,-270.0,False,"Con candidatos, sin alcanzar",5,3,Part. Subvencionado,597,618,607.5,4,Otro
12647771,1,1,1,598.15,120.64999999999998,True,Con alternativa alcanzable,4,4,Part. Subvencionado,583,631,607.0,10,Otro
12647822,29,29,29,794.4,407.79999999999995,True,Con alternativa alcanzable,7,7,Part. Subvencionado,782,710,746.0,1,Otro
12647865,1,0,0,604.2,-307.0999999999999,False,"Con candidatos, sin alcanzar",2,1,Part. Subvencionado,502,610,556.0,99,Otro
12648497,11,10,10,630.9,276.29999999999995,True,Con alternativa alcanzable,4,1,Part. Subvencionado,525,587,556.0,1,Otro
12649298,28,18,18,548.8,168.69999999999993,True,Con alternativa alcanzable,4,3,SLEP,410,393,401.5,99,Publico
12649754,14,14,14,769.9,344.25,True,Con alternativa alcanzable,4,3,Part. Subvencionado,484,672,578.0,99,Otro
12650189,1,1,1,661.1,114.30000000000007,True,Con alternativa alcanzable,2,2,Part. Pagado,511,486,498.5,99,Part. Pagado
12651348,30,6,6,476.8,75.40000000000003,True,Con alternativa alcanzable,7,7,Part. Subvencionado,397,474,435.5,1,Otro
12652929,1,0,0,836.8,-74.5,False,"Con candidatos, sin alcanzar",20,4,Part. Pagado,782,948,865.0,8,Part. Pagado
12656172,47,46,46,676.1,308.40000000000003,True,Con alternativa alcanzable,2,2,Municipal,492,601,546.5,1,Publico
12661007,58,41,41,550.6,182.90000000000003,True,Con alternativa alcanzable,3,3,Part. Subvencionado,511,446,478.5,4,Otro
12661467,21,9,9,675.9,301.2,True,Con alternativa alcanzable,2,2,Municipal,467,474,470.5,99,Publico
12661875,19,3,3,446.9,23.19999999999999,True,Con alternativa alcanzable,3,3,Municipal,467,460,463.5,7,Publico
12661966,4,4,4,662.4,194.10000000000002,True,Con alternativa alcanzable,2,2,SLEP,634,645,639.5,3,Publico
12662492,27,10,10,492.6,76.35000000000002,True,Con alternativa alcanzable,7,5,Part. Subvencionado,511,539,525.0,6,Otro
12662538,7,5,5,589.7,153.40000000000003,True,Con alternativa alcanzable,2,2,Part. Subvencionado,477,526,501.5,9,Otro
12662617,0,0,0,,,False,Sin candidatos evaluables,6,4,Part. Pagado,756,807,781.5,99,Part. Pagado
12663014,3,3,3,677.1,245.0,True,Con alternativa alcanzable,3,2,Part. Subvencionado,500,539,519.5,2,Otro
12665471,11,10,10,568.9,214.29999999999995,True,Con alternativa alcanzable,5,1,Part. Subvencionado,528,402,465.0,99,Otro
12667025,1,1,1,564.6,79.0,True,Con alternativa alcanzable,1,1,Part. Subvencionado,502,518,510.0,99,Otro
12667968,8,7,7,691.8,281.4,True,Con alternativa alcanzable,4,4,Part. Subvencionado,576,753,664.5,7,Otro
12668266,113,74,74,520.3,165.69999999999993,True,Con alternativa alcanzable,15,11,Part. Subvencionado,467,460,463.5,7,Otro
12668901,0,0,0,,,False,Sin candidatos evaluables,1,1,Part. Pagado,682,723,702.5,10,Part. Pagado
12668989,9,9,9,629.9,230.5,True,Con alternativa alcanzable,2,2,Part. Subvencionado,607,516,561.5,6,Otro
12669763,13,13,13,574.9,149.25,True,Con alternativa alcanzable,6,6,Part. Subvencionado,597,609,603.0,99,Otro
12670598,1,0,0,814.4,-96.89999999999998,False,"Con candidatos, sin alcanzar",2,1,Part. Pagado,660,900,780.0,99,Part. Pagado
12670904,11,7,7,587.5,115.59999999999997,True,Con alternativa alcanzable,5,5,Corp. Municipal,484,579,531.5,6,Publico
12671359,16,16,16,758.1,317.25,True,Con alternativa alcanzable,7,6,Part. Subvencionado,569,838,703.5,99,Otro
12671764,1,0,0,899.6,-11.699999999999932,False,"Con candidatos, sin alcanzar",9,2,Part. Subvencionado,878,948,913.0,5,Otro
12672332,0,0,0,,,False,Sin candidatos evaluables,1,1,Part. Pagado,756,753,754.5,1,Part. Pagado
12672499,30,24,24,534.1,136.24999999999994,True,Con alternativa alcanzable,4,2,Part. Subvencionado,650,539,594.5,8,Otro
12673365,14,13,13,605.4,180.89999999999998,True,Con alternativa alcanzable,7,6,Part. Subvencionado,528,699,613.5,1,Otro
12675162,87,74,74,590.6,222.90000000000003,True,Con alternativa alcanzable,17,11,Municipal,424,446,435.0,99,Publico
12675737,0,0,0,,,False,Sin candidatos evaluables,1,1,Part. Subvencionado,607,621,614.0,1,Otro
12681166,21,18,18,558.7,183.8,True,Con alternativa alcanzable,6,3,Part. Subvencionado,590,502,546.0,8,Otro
12681626,8,8,8,851.0,488.1,True,Con alternativa alcanzable,3,2,Municipal,597,753,675.0,99,Publico
12682359,5,4,4,676.4,218.89999999999998,True,Con alternativa alcanzable,1,1,SLEP,479,610,544.5,1,Publico
12683456,19,19,19,701.8,256.9,True,Con alternativa alcanzable,5,2,Part. Subvencionado,690,861,775.5,99,Otro
12683922,5,4,4,718.7,144.25,True,Con alternativa alcanzable,5,2,Part. Subvencionado,500,553,526.5,2,Otro
12683923,1,0,0,818.0,-93.29999999999995,False,"Con candidatos, sin alcanzar",6,1,Corp. Municipal,860,824,842.0,1,Publico
12686730,8,8,8,585.2,166.59999999999997,True,Con alternativa alcanzable,2,2,SLEP,567,539,553.0,99,Publico
12686870,45,27,27,494.55,99.69999999999999,True,Con alternativa alcanzable,8,8,Municipal,540,474,507.0,6,Publico
12688624,1,0,0,732.2,-179.0999999999999,False,"Con candidatos, sin alcanzar",19,1,Municipal,680,683,681.5,99,Publico
12689599,11,10,10,552.1,197.5,True,Con alternativa alcanzable,1,1,Municipal,500,502,501.0,4,Publico
12691278,59,51,51,603.1,235.40000000000003,True,Con alternativa alcanzable,3,3,Corp. Adm. Delegada,590,486,538.0,7,Otro
12691953,4,3,3,637.0,172.5,True,Con alternativa alcanzable,3,3,Part. Pagado,484,567,525.5,10,Part. Pagado
12692038,14,13,13,734.7,289.25,True,Con alternativa alcanzable,6,5,Part. Subvencionado,663,824,743.5,99,Otro
12695360,1,0,0,645.6,-265.69999999999993,False,"Con candidatos, sin alcanzar",7,1,Part. Subvencionado,674,539,606.5,10,Otro
12695584,9,0,0,459.25,-7.800000000000011,False,"Con candidatos, sin alcanzar",11,4,Part. Subvencionado,477,526,501.5,99,Otro
12697628,11,10,10,572.7,218.10000000000002,True,Con alternativa alcanzable,2,1,Part. Subvencionado,471,570,520.5,99,Otro
12697769,1,0,0,818.1,-93.19999999999993,False,"Con candidatos, sin alcanzar",20,3,Part. Subvencionado,790,793,791.5,99,Otro
12697770,11,11,11,685.5,288.1,True,Con alternativa alcanzable,6,4,Municipal,567,508,537.5,99,Publico
